¬ыплаты;—егмент;ƒата оплаты
5026,96;ядерные риски;27.06.2019
43140,11;ядерные риски;16.11.2021
78730,99;ядерные риски;16.07.2021
31862,13;ядерные риски;25.05.2018
81000,66;ядерные риски;08.09.2017
237257,93;ядерные риски;04.07.2020
105485,73;ядерные риски;17.10.2020
288180,85;ядерные риски;09.05.2022
259871,84;ядерные риски;27.06.2018
163376,2;ядерные риски;17.03.2021
111624,85;ядерные риски;20.01.2021
22671,59;ядерные риски;27.08.2021
16750,07;ядерные риски;10.09.2019
31718,97;ядерные риски;04.03.2020
24930,29;ядерные риски;22.01.2017
36284,35;ядерные риски;16.04.2020
42159,48;ядерные риски;06.03.2022
235667,66;ядерные риски;19.04.2019
43985,9;ядерные риски;19.03.2018
184740,78;ядерные риски;01.12.2020
45242,64;ядерные риски;03.04.2019
2184,21;ядерные риски;17.06.2020
2184,21;ядерные риски;13.04.2017
2184,21;ядерные риски;23.05.2022
8072,23;ядерные риски;20.07.2022
24194,76;ядерные риски;29.09.2017
3221,7;ядерные риски;05.12.2019
29224,73;ядерные риски;28.01.2017
18015,39;ядерные риски;05.02.2019
18015,39;ядерные риски;09.01.2021
16451,53;ядерные риски;06.08.2020
14277,03;ядерные риски;05.05.2017
38958,94;ядерные риски;03.09.2017
25134,8;ядерные риски;05.09.2021
23249,69;ядерные риски;27.05.2018
24441,73;ядерные риски;22.01.2017
477,56;ядерные риски;23.05.2020
9680,67;ядерные риски;05.11.2020
64578,84;ядерные риски;09.10.2020
64578,84;ядерные риски;10.10.2020
8866,34;ядерные риски;01.06.2018
-8866,34;ядерные риски;22.08.2017
8866,34;ядерные риски;20.07.2020
5721,91;ядерные риски;16.02.2019
63668,71;ядерные риски;15.04.2021
32800,91;ядерные риски;14.10.2018
21635,38;ядерные риски;22.10.2018
34624,22;ядерные риски;29.08.2018
2701,99;ядерные риски;17.03.2017
293234016,9;ядерные риски;13.01.2017
20897236,1;ядерные риски;13.03.2022
21677162,66;ядерные риски;22.08.2018
13786,44;ядерные риски;21.06.2017
30475,95;ядерные риски;31.12.2021
99619,48;ядерные риски;27.11.2020
4298,05;ядерные риски;16.01.2020
14553,05;ядерные риски;19.04.2018
12558,6;ядерные риски;12.02.2017
8050,35;ядерные риски;07.03.2019
7682,88;ядерные риски;15.09.2018
54849,51;ядерные риски;28.11.2022
60951,89;ядерные риски;01.09.2021
92789,93;ядерные риски;03.03.2020
28967,86;ядерные риски;14.03.2019
