;Итерация;Лейер;Выплаты;Доля_в_выплатах;Восст_прем
208;53;0;3745256,03;0,0;0,0
209;53;1;8827512,249999998;1600000,0;140280,0
210;53;2;1005392,0;5392,0;95,98
211;53;3;0,0;0,0;0,0
212;54;0;4636171,19;0,0;0,0
213;54;1;6718553,76;1600000,0;140280,0
214;54;2;502696,0;2696,0;47,99
215;54;3;0,0;0,0;0,0
216;55;0;4300908,6;0,0;0,0
217;55;1;7429593,73;1600000,0;140280,0
218;55;2;1005392,0;5392,0;95,98
219;55;3;0,0;0,0;0,0
220;56;0;4116396,5499999993;0,0;0,0
221;56;1;5946772,97;1600000,0;140280,0
222;56;2;1508088,0;8088,0;143,97
223;56;3;0,0;0,0;0,0
224;57;0;3441679,95;0,0;0,0
225;57;1;5235856,549999999;1600000,0;140280,0
226;57;2;0,0;0,0;0,0
227;57;3;0,0;0,0;0,0
228;58;0;3597178,14;0,0;0,0
229;58;1;8485853,27;1600000,0;140280,0
230;58;2;0,0;0,0;0,0
231;58;3;0,0;0,0;0,0
232;59;0;4247154,430000001;0,0;0,0
233;59;1;6328098,3;1600000,0;140280,0
234;59;2;1005392,0;5392,0;95,98
235;59;3;0,0;0,0;0,0
236;60;0;3901740,9099999997;0,0;0,0
237;60;1;6356975,23;1600000,0;140280,0
238;60;2;628370,0;128370,0;2284,99
239;60;3;0,0;0,0;0,0
240;61;0;3393304,94;0,0;0,0
241;61;1;9624711,120000001;1600000,0;140280,0
242;61;2;596951,5;96951,5;1725,74
243;61;3;0,0;0,0;0,0
244;62;0;4474187,010000001;0,0;0,0
245;62;1;9268980,729999999;1600000,0;140280,0
246;62;2;1005392,0;5392,0;95,98
247;62;3;0,0;0,0;0,0
248;63;0;4533826,37;0,0;0,0
249;63;1;6768713,210000001;1600000,0;140280,0
250;63;2;1005392,0;5392,0;95,98
251;63;3;0,0;0,0;0,0
252;64;0;4694692,25;0,0;0,0
253;64;1;9398053,68;1600000,0;140280,0
254;64;2;2010784,0;10784,0;191,96
255;64;3;0,0;0,0;0,0
256;65;0;4284841,5;0,0;0,0
257;65;1;10819162,92;1600000,0;140280,0
258;65;2;1508088,0;8088,0;143,97
259;65;3;0,0;0,0;0,0
260;66;0;4345641,39;0,0;0,0
261;66;1;7031560,15;1600000,0;140280,0
262;66;2;2513480,0;13480,0;239,94
263;66;3;0,0;0,0;0,0
264;67;0;3922928,14;0,0;0,0
265;67;1;9737660,33;1600000,0;140280,0
266;67;2;2010784,0;10784,0;191,96
267;67;3;0,0;0,0;0,0
268;68;0;4854627,930000001;0,0;0,0
269;68;1;8390239,02;1600000,0;140280,0
270;68;2;3110431,5;110431,5;1965,68
271;68;3;0,0;0,0;0,0
272;69;0;5295490,910000001;0,0;0,0
273;69;1;9427187,23;1600000,0;140280,0
274;69;2;1508088,0;8088,0;143,97
275;69;3;0,0;0,0;0,0
276;70;0;4637952,680000001;0,0;0,0
277;70;1;10683172,680000002;1600000,0;140280,0
278;70;2;3016176,0;16176,0;287,93
279;70;3;0,0;0,0;0,0
280;71;0;3982058,78;0,0;0,0
281;71;1;8110746,210000001;1600000,0;140280,0
282;71;2;1005392,0;5392,0;95,98
283;71;3;0,0;0,0;0,0
284;72;0;5135717,6;0,0;0,0
285;72;1;10224980,01;1600000,0;140280,0
286;72;2;0,0;0,0;0,0
287;72;3;0,0;0,0;0,0
288;73;0;4788424,98;0,0;0,0
289;73;1;7412947,81;1600000,0;140280,0
