Итерация;Выплаты;Доля_в_выплатах;Восст_прем;Премия_Re;Фин_рез;Процент_доли
105;18948519,63;1731978,6;142629,22;4000000,0;2410650,62;0,09140442809357346
106;15916200,170000002;1610784,0;140471,96;4000000,0;2529687,96;0,10120405516362639
107;13673564,850000001;1608088,0;140423,97;4000000,0;2532335,97;0,11760561474939725
108;14140232,480000002;1602696,0;140327,99;4000000,0;2537631,99;0,11334297383489693
109;14883307,639999999;1699647,5;142053,73;4000000,0;2442406,23;0,11419823745577029
110;12683549,030000001;1723274,21;142474,28;4000000,0;2419200,07;0,13586687810517337
111;12839897,15;1605392,0;140375,98;4000000,0;2534983,98;0,12503153111316004
112;16144388,75;1605392,0;140375,98;4000000,0;2534983,98;0,09943962728226549
113;13738574,940000001;1605392,0;140375,98;4000000,0;2534983,98;0,11685287644542265
114;12775656,219999999;1600000,0;140280,0;4000000,0;2540280,0;0,12523818522098587
115;12800396,84;1605392,0;140375,98;4000000,0;2534983,98;0,12541736166985898
116;14313177,420000002;1602696,0;140327,99;4000000,0;2537631,99;0,11197346004811835
117;18575982,189999998;6205039,5;310449,7;4000000,0;-1894589,7999999998;0,3340356077290146
118;14587671,739999998;1725970,21;142522,27;4000000,0;2416552,06;0,11831704474589447
119;11536285,860000001;1602696,0;140327,99;4000000,0;2537631,99;0,13892651581711063
120;12538621,48;1605392,0;140375,98;4000000,0;2534983,98;0,12803576553935497
121;12465208,200000001;1608088,0;140423,97;4000000,0;2532335,97;0,12900610837771645
122;14963240,85;1608088,0;140423,97;4000000,0;2532335,97;0,10746923184090831
123;13972435,92;1739154,0;142756,94;4000000,0;2403602,94;0,12447035076472192
124;15338889,08;1898942,5;145601,18;4000000,0;2246658,68;0,12379921975418574
125;14638413,319999998;1629635,1;140807,5;4000000,0;2511172,4;0,11132593843169337
126;16364982,379999999;1613480,0;140519,94;4000000,0;2527039,94;0,09859344559832028
127;17131108,53;1616176,0;140567,93;4000000,0;2524391,93;0,09434158899698476
128;15090303,8;1741850,0;142804,93;4000000,0;2400954,93;0,11542842497312744
129;16489907,59;1731362,21;142618,25;4000000,0;2411256,04;0,10499526456109146
130;12902606,330000002;1608088,0;140423,97;4000000,0;2532335,97;0,12463280354923452
131;12549720,649999999;1605392,0;140375,98;4000000,0;2534983,98;0,12792252869787984
132;12556115,130000003;1616176,0;140567,93;4000000,0;2524391,93;0,1287162456911941
133;13075348,2;1600000,0;140280,0;4000000,0;2540280,0;0,12236767813189098
134;13694861,620000001;1702343,5;142101,71;4000000,0;2439758,21;0,12430527209664495
135;15423670,1;1705039,5;142149,7;4000000,0;2437110,2;0,11054693785235979
136;17042166,29;1610784,0;140471,96;4000000,0;2529687,96;0,09451756147604168
137;13218568,670000002;1613480,0;140519,94;4000000,0;2527039,94;0,12206162711563837
138;13405043,489999998;1616176,0;140567,93;4000000,0;2524391,93;0,12056477110317829
139;13085327,379999999;1605392,0;140375,98;4000000,0;2534983,98;0,12268642223302174
140;13481701,47;1608088,0;140423,97;4000000,0;2532335,97;0,11927930636784824
141;15786694,879999999;1608088,0;140423,97;4000000,0;2532335,97;0,10186350038583884
142;14850727,23;1613480,0;140519,94;4000000,0;2527039,94;0,10864653124465205
143;13515948,030000001;1605392,0;140375,98;4000000,0;2534983,98;0,1187776097123688
144;14541463,54;1710431,5;142245,68;4000000,0;2431814,18;0,11762443960987988
145;14181658,85;1605392,0;140375,98;4000000,0;2534983,98;0,11320198976581643
146;15544641,400000002;1825617,71;144296,0;4000000,0;2318678,29;0,1174435397396816
147;13629323,55;1605392,0;140375,98;4000000,0;2534983,98;0,11778955823526545
148;17401799,92;1616176,0;140567,93;4000000,0;2524391,93;0,09287407092541723
149;16951255,55;1734058,21;142666,24;4000000,0;2408608,0300000003;0,10229674167115013
150;14556198,440000001;1605392,0;140375,98;4000000,0;2534983,98;0,11028923565567988
151;14190251,71;1731066,0;142612,97;4000000,0;2411546,97;0,12198980225136541
152;10489522,07;1605392,0;140375,98;4000000,0;2534983,98;0,15304720170153566
153;14088768,719999999;1608088,0;140423,97;4000000,0;2532335,97;0,11413971170647481
154;14856788,07;1616176,0;140567,93;4000000,0;2524391,93;0,108783674666768
155;17380394,09;1613480,0;140519,94;4000000,0;2527039,94;0,09283333805004648
156;13624190,9;1605392,0;140375,98;4000000,0;2534983,98;0,11783393316956532
157;11903716,83;1608088,0;140423,97;4000000,0;2532335,97;0,13509125115839973
158;17327883,230000004;1705039,5;142149,7;4000000,0;2437110,2;0,09839860283961525
159;12013132,650000002;1705039,5;142149,7;4000000,0;2437110,2;0,14193129716252653
160;10900392,48;1605392,0;140375,98;4000000,0;2534983,98;0,14727836662263008
161;14511261,739999998;1610784,0;140471,96;4000000,0;2529687,96;0,11100233934585485
162;12723820,799999999;1605392,0;140375,98;4000000,0;2534983,98;0,126172163631855
163;12879300,600000001;1608088,0;140423,97;4000000,0;2532335,97;0,1248583327576033
164;16806362,85;1702343,5;142101,71;4000000,0;2439758,21;0,10129160694635364
165;13803932,4;1702343,5;142101,71;4000000,0;2439758,21;0,12332308292092187
166;11642419,549999999;1608088,0;140423,97;4000000,0;2532335,97;0,13812317904313973
167;15750987,829999998;1600000,0;140280,0;4000000,0;2540280,0;0,10158093049583673
168;12171031,159999998;1605392,0;140375,98;4000000,0;2534983,98;0,1319027105341829
169;13593519,93;1608088,0;140423,97;4000000,0;2532335,97;0,11829813089478437
170;16827510,89;1616176,0;140567,93;4000000,0;2524391,93;0,09604367577384465
171;18574919,65;1610784,0;140471,96;4000000,0;2529687,96;0,08671822168555114
172;13990670,680000002;1736458,0;142708,95;4000000,0;2406250,95;0,12411542232084043
173;12329272,32;1608088,0;140423,97;4000000,0;2532335,97;0,13042845986874918
174;12255400,05;1605392,0;140375,98;4000000,0;2534983,98;0,13099466304243573
175;13972758,92;1608088,0;140423,97;4000000,0;2532335,97;0,1150873645789632
176;13911970,36;1605392,0;140375,98;4000000,0;2534983,98;0,11539645057150626
177;13734810,27;1710431,5;142245,68;4000000,0;2431814,18;0,12453259028528248
178;16044911,889999999;1747517,31;142905,81;4000000,0;2395388,5;0,10891411071500749
179;14050971,420000002;1608088,0;140423,97;4000000,0;2532335,97;0,1144467490490419
180;13240292,87;1605392,0;140375,98;4000000,0;2534983,98;0,12125049013360685
181;15927222,329999998;1616176,0;140567,93;4000000,0;2524391,93;0,10147255852364309
182;15579425,259999998;1710431,5;142245,68;4000000,0;2431814,18;0,10978784335462707
183;16472544,46;1605392,0;140375,98;4000000,0;2534983,98;0,09745865333059783
184;13737403,7;1707735,5;142197,69;4000000,0;2434462,19;0,12431282775798458
185;15055231,77;1608088,0;140423,97;4000000,0;2532335,97;0,1068125701793829
186;16647863,39;1736458,0;142708,95;4000000,0;2406250,95;0,10430515672317756
187;17394735,23;1705039,5;142149,7;4000000,0;2437110,2;0,09802043419777881
188;16821829,450000003;1713127,5;142293,67;4000000,0;2429166,17;0,10183954754100778
189;11429629,619999997;1608088,0;140423,97;4000000,0;2532335,97;0,14069467283402665
190;13369923,75;1728370,0;142564,99;4000000,0;2414194,99;0,1292729885613596
191;19790259,8;6202343,5;310401,70999999996;4000000,0;-1891941,79;0,3134038442486743
192;11853735,970000003;1608088,0;140423,97;4000000,0;2532335,97;0,1356608586583863
193;17779270,750000004;1637723,1;140951,47;4000000,0;2503228,37;0,09211418865422248
194;11767597,649999999;1602696,0;140327,99;4000000,0;2537631,99;0,1361956830670532
195;17521305,0;1610784,0;140471,96;4000000,0;2529687,96;0,09193287828731936
