;0
356;146912,91
357;44237,25
358;44488,6
359;29784,74
360;44362,92
361;232465,27
362;17424,7
363;42226,46
364;100559,31
365;58249,9
366;103304,03
367;125674,0
368;158851,94
369;140588,99
370;15834,92
371;73936,05
372;39335,96
373;125674,0
374;125674,0
375;502696,0
376;25763,17
377;166769,4
378;59569,48
379;43923,06
380;11939,03
381;37199,5
382;42226,46
383;112101,21
384;12693,07
385;27522,61
386;25260,47
387;165356,82
388;25134,8
389;16965,99
390;66732,89
391;46499,38
392;66607,22
393;105817,51
394;91616,35
395;23865,49
396;110844,47
397;88600,17
398;157092,5
399;72237,42
400;79802,99
401;241545,43
402;42729,16
403;36068,44
404;52743,78
405;92998,76
406;12944,42
407;35314,39
408;228868,8
409;347362,94
410;405950,26
411;31418,5
412;54668,19
413;502696,0
414;163376,2
415;17946,25
416;29533,39
417;141131,9
418;46273,17
419;115863,89
420;45116,97
421;58061,39
422;125674,0
423;228322,24
424;12064,7
425;39109,75
426;83447,54
427;36354,6
428;114823,87
429;37953,55
430;21867,28
431;502696,0
432;145202,14
433;22178,39
434;29533,39
435;502696,0
436;254238,5
437;99785,16
438;45996,68
439;17217,34
440;36194,11
441;22369,97
442;29910,41
443;118825,27
444;84201,58
445;75404,4
446;66732,89
447;24280,22
448;80544,47
449;61957,28
450;26768,56
451;108961,49
452;38204,9
453;502696,0
454;26265,87
455;37199,5
456;71131,48
457;5403,98
458;176361,87
459;53914,15
460;30036,09
461;61705,93
462;68115,31
463;49138,53
464;117756,54
465;33429,28
466;29659,06
467;596951,5
468;596951,5
469;502696,0
470;41472,42
471;233558,85
472;18222,73
473;69948,65
474;226590,22
475;87469,1
476;502696,0
477;22219,05
478;49892,58
479;19102,45
480;89354,21
481;90485,28
482;8483,0
483;42980,51
484;288547,5
485;86589,39
486;38079,22
487;19730,82
488;105691,83
489;125674,0
490;132309,59
491;56704,11
492;295710,92
493;37702,2
494;445059,89
495;57636,11
496;13824,14
497;12591,28
498;24757,78
499;51878,23
500;294956,88
501;38456,24
502;374508,52
503;18725,43
504;51532,99
505;40969,72
506;116876,82
507;72262,55
508;78797,6
509;125674,0
510;77792,21
511;27396,93
512;120647,04
513;24081,44
514;28707,32
515;179172,17
516;50720,77
517;26181,66
518;125674,0
519;115934,27
520;31418,5
521;45237,61
522;52531,73
523;141257,58
524;43985,9
525;103128,08
526;47253,42
527;150808,8
528;12043,75
529;21364,58
530;44290,13
531;12456,81
532;63968,07
533;175817,93
534;157896,81
535;17544,09
536;236895,49
537;41598,09
538;49264,21
539;82567,82
540;87846,13
541;27334,1
542;16714,64
543;39210,29
544;98402,74
545;37953,55
546;81185,4
547;11184,99
548;125674,0
549;181473,26
550;285908,35
551;84586,14
552;32172,54
553;55799,26
554;153070,93
555;53788,47
556;12190,38
557;195046,05
558;502696,0
559;103555,38
560;50269,6
561;74273,33
562;27447,2
563;39974,39
564;252604,74
565;10179,59
566;69214,04
567;27899,63
568;11562,01
569;87343,43
570;73142,27
571;90011,65
572;43659,15
573;125674,0
574;39176,36
575;15080,88
576;41723,77
577;29282,04
578;628,37
579;101670,27
580;140754,88
581;57684,37
582;62837,0
583;182855,67
584;112729,58
585;54291,17
586;43357,53
587;40467,03
588;52700,14
589;502696,0
590;502696,0
591;502696,0
592;69072,94
593;61580,26
594;70503,11
595;56553,3
596;50269,6
597;81618,94
598;46373,71
599;304656,79
600;56930,32
601;10682,29
602;196679,81
603;325955,63
604;68853,98
605;64923,19
606;26768,56
607;153322,28
608;171042,31
609;30724,78
610;36068,44
